Flow,O,D,Year
133,48,47,2005
957,48,31,2005
207,48,26,2005
185,48,41,2005
10,48,6,2005
4,48,38,2005
353,48,37,2005
152,48,8,2005
380,48,7,2005
141,48,1,2005
443,48,20,2005
134,48,30,2005
163,48,11,2005
349,48,27,2005
7,48,33,2005
439,48,36,2005
109,48,13,2005
452,48,25,2005
393,48,2,2005
1082,48,45,2005
167,48,42,2005
124,48,3,2005
132,48,44,2005
141,48,19,2005
38,48,32,2005
619,48,14,2005
91,48,23,2005
801,48,15,2005
166,48,22,2005
15,48,29,2005
451,48,4,2005
460,48,12,2005
2859,48,43,2005
41,48,24,2005
3397,1,17,2005
445,1,34,2005
1426,1,46,2005
895,1,16,2005
438,1,21,2005
18,1,49,2005
1856,1,10,2005
1881,1,18,2005
27,1,9,2005
1769,1,28,2005
463,1,47,2005
149,1,31,2005
186,1,26,2005
571,1,41,2005
2653,1,6,2005
20,1,38,2005
376,1,37,2005
32,1,8,2005
565,1,7,2005
232,1,48,2005
391,1,20,2005
54,1,27,2005
155,1,36,2005
74,1,13,2005
241,1,25,2005
655,1,2,2005
19,1,45,2005
185,1,42,2005
229,1,3,2005
122,1,44,2005
152,1,19,2005
218,1,32,2005
21,1,14,2005
4025,1,23,2005
2262,1,15,2005
166,1,22,2005
764,1,4,2005
316,1,12,2005
139,1,5,2005
182,1,43,2005
19,1,24,2005
294,20,17,2005
394,20,34,2005
1617,20,46,2005
1418,20,16,2005
568,20,21,2005
56,20,49,2005
17,20,39,2005
11,20,35,2005
1215,20,10,2005
378,20,18,2005
178,20,9,2005
2505,20,28,2005
714,20,47,2005
657,20,31,2005
3349,20,26,2005
382,20,41,2005
220,20,6,2005
24,20,38,2005
227,20,37,2005
76,20,8,2005
508,20,7,2005
365,20,48,2005
295,20,1,2005
41,20,30,2005
298,20,11,2005
59,20,27,2005
52,20,33,2005
119,20,36,2005
77,20,13,2005
359,20,25,2005
562,20,2,2005
45,20,45,2005
344,20,42,2005
810,20,3,2005
334,20,44,2005
354,20,19,2005
17,20,40,2005
365,20,32,2005
18,20,14,2005
415,20,23,2005
1766,20,15,2005
173,20,22,2005
528,20,4,2005
269,20,12,2005
9,20,5,2005
251,20,43,2005
73,20,24,2005
1704,30,34,2005
73,30,46,2005
2629,30,16,2005
2720,30,21,2005
144,30,49,2005
1243,30,10,2005
258,30,18,2005
2188,30,9,2005
324,30,28,2005
40,30,47,2005
283,30,31,2005
185,30,26,2005
230,30,41,2005
29,30,38,2005
468,30,8,2005
112,30,7,2005
593,30,48,2005
501,30,1,2005
392,30,20,2005
118,30,11,2005
1333,30,27,2005
1061,30,33,2005
38,30,36,2005
232,30,13,2005
396,30,25,2005
93,30,2,2005
508,30,45,2005
100,30,42,2005
426,30,3,2005
2851,30,44,2005
273,30,19,2005
625,30,14,2005
64,30,23,2005
1131,30,15,2005
1155,30,22,2005
122,30,29,2005
150,30,4,2005
4925,30,12,2005
189,30,5,2005
233,30,43,2005
1907,30,24,2005
223,11,17,2005
1484,11,34,2005
322,11,46,2005
1892,11,16,2005
2844,11,21,2005
59,11,49,2005
24,11,39,2005
101,11,35,2005
690,11,10,2005
649,11,18,2005
262,11,9,2005
871,11,28,2005
55,11,47,2005
4334,11,31,2005
652,11,26,2005
23,11,41,2005
33,11,6,2005
43,11,38,2005
387,11,37,2005
30,11,8,2005
193,11,7,2005
620,11,48,2005
37,11,1,2005
2100,11,20,2005
132,11,30,2005
156,11,27,2005
226,11,13,2005
173,11,25,2005
199,11,2,2005
48,11,45,2005
478,11,42,2005
558,11,3,2005
379,11,44,2005
519,11,19,2005
148,11,32,2005
1103,11,14,2005
34,11,23,2005
1103,11,15,2005
213,11,22,2005
400,11,4,2005
656,11,12,2005
407,11,43,2005
441,11,24,2005
262,27,17,2005
3730,27,34,2005
159,27,46,2005
10471,27,16,2005
1380,27,21,2005
143,27,49,2005
1050,27,10,2005
987,27,18,2005
1241,27,9,2005
1018,27,28,2005
324,27,47,2005
772,27,31,2005
350,27,26,2005
108,27,41,2005
302,27,6,2005
24,27,38,2005
365,27,37,2005
318,27,8,2005
802,27,7,2005
191,27,48,2005
76,27,1,2005
778,27,20,2005
268,27,30,2005
181,27,11,2005
196,27,36,2005
704,27,13,2005
597,27,25,2005
118,27,2,2005
47,27,45,2005
1084,27,42,2005
301,27,3,2005
918,27,44,2005
93,27,19,2005
256,27,40,2005
294,27,32,2005
62,27,14,2005
392,27,23,2005
1455,27,15,2005
2749,27,22,2005
424,27,4,2005
1375,27,12,2005
22,27,5,2005
774,27,43,2005
446,27,24,2005
350,33,17,2005
614,33,34,2005
842,33,16,2005
1145,33,21,2005
1256,33,49,2005
50,33,35,2005
5457,33,10,2005
383,33,18,2005
423,33,28,2005
36,33,47,2005
907,33,31,2005
160,33,26,2005
39,33,41,2005
3063,33,38,2005
359,33,37,2005
8417,33,8,2005
75,33,7,2005
14,33,48,2005
427,33,1,2005
299,33,20,2005
111,33,30,2005
167,33,27,2005
725,33,36,2005
898,33,25,2005
1060,33,2,2005
269,33,42,2005
44,33,3,2005
164,33,44,2005
495,33,19,2005
500,33,40,2005
413,33,32,2005
298,33,15,2005
519,33,22,2005
3847,33,29,2005
884,33,4,2005
442,33,12,2005
119,33,43,2005
108,36,17,2005
544,36,34,2005
54,36,46,2005
1342,36,16,2005
86,36,21,2005
396,36,49,2005
309,36,39,2005
108,36,35,2005
3911,36,10,2005
671,36,18,2005
37,36,9,2005
177,36,28,2005
164,36,47,2005
14,36,31,2005
47,36,26,2005
147,36,41,2005
55,36,6,2005
98,36,38,2005
696,36,37,2005
470,36,8,2005
84,36,7,2005
56,36,48,2005
31,36,1,2005
25,36,20,2005
31,36,11,2005
119,36,27,2005
147,36,33,2005
64,36,13,2005
2817,36,25,2005
1327,36,2,2005
218,36,42,2005
73,36,3,2005
35,36,44,2005
4190,36,19,2005
184,36,40,2005
541,36,32,2005
164,36,23,2005
737,36,15,2005
92,36,22,2005
46,36,29,2005
771,36,4,2005
290,36,12,2005
82,36,5,2005
49,36,43,2005
30,36,24,2005
261,13,17,2005
5599,13,34,2005
536,13,46,2005
2974,13,16,2005
3171,13,21,2005
102,13,35,2005
680,13,10,2005
227,13,18,2005
282,13,9,2005
40,13,28,2005
421,13,47,2005
10,13,31,2005
393,13,26,2005
267,13,41,2005
23,13,6,2005
85,13,38,2005
804,13,37,2005
241,13,8,2005
485,13,7,2005
32,13,1,2005
140,13,20,2005
263,13,30,2005
276,13,11,2005
718,13,27,2005
358,13,33,2005
250,13,36,2005
524,13,25,2005
347,13,2,2005
100,13,45,2005
153,13,42,2005
851,13,3,2005
91,13,44,2005
422,13,19,2005
468,13,32,2005
33,13,14,2005
144,13,23,2005
6371,13,15,2005
602,13,22,2005
24,13,29,2005
369,13,4,2005
726,13,12,2005
78,13,5,2005
57,13,43,2005
195,13,24,2005
166,25,17,2005
348,25,34,2005
49,25,46,2005
1344,25,16,2005
332,25,21,2005
1356,25,49,2005
234,25,39,2005
144,25,35,2005
5079,25,10,2005
1619,25,18,2005
17,25,9,2005
282,25,28,2005
81,25,47,2005
76,25,31,2005
44,25,26,2005
52,25,41,2005
81,25,6,2005
148,25,38,2005
584,25,37,2005
735,25,8,2005
210,25,7,2005
137,25,48,2005
114,25,1,2005
95,25,20,2005
18,25,30,2005
46,25,11,2005
212,25,27,2005
93,25,33,2005
3212,25,36,2005
109,25,13,2005
1501,25,2,2005
2,25,45,2005
377,25,42,2005
116,25,3,2005
92,25,44,2005
1918,25,19,2005
125,25,40,2005
472,25,32,2005
13,25,14,2005
244,25,23,2005
683,25,15,2005
56,25,22,2005
125,25,29,2005
827,25,4,2005
195,25,12,2005
32,25,5,2005
79,25,43,2005
3,25,24,2005
157,2,17,2005
306,2,34,2005
87,2,46,2005
1719,2,16,2005
481,2,21,2005
181,2,49,2005
39,2,39,2005
225,2,35,2005
3059,2,10,2005
1621,2,18,2005
20,2,9,2005
301,2,28,2005
165,2,47,2005
214,2,31,2005
212,2,26,2005
298,2,41,2005
329,2,6,2005
55,2,38,2005
502,2,37,2005
262,2,8,2005
403,2,7,2005
198,2,48,2005
163,2,1,2005
255,2,20,2005
14,2,30,2005
44,2,11,2005
163,2,27,2005
32,2,33,2005
269,2,36,2005
163,2,13,2005
1011,2,25,2005
5,2,45,2005
535,2,42,2005
104,2,3,2005
30,2,44,2005
1015,2,19,2005
18,2,40,2005
2490,2,32,2005
13,2,14,2005
840,2,23,2005
1430,2,15,2005
132,2,22,2005
32,2,29,2005
1742,2,4,2005
289,2,12,2005
279,2,5,2005
157,2,43,2005
5,2,24,2005
118,45,17,2005
1947,45,34,2005
201,45,46,2005
2147,45,16,2005
1591,45,21,2005
650,45,10,2005
675,45,18,2005
305,45,9,2005
786,45,28,2005
225,45,47,2005
1333,45,31,2005
444,45,26,2005
106,45,41,2005
127,45,37,2005
1053,45,8,2005
35,45,7,2005
10188,45,48,2005
125,45,1,2005
77,45,20,2005
927,45,30,2005
305,45,11,2005
219,45,27,2005
206,45,36,2005
363,45,13,2005
465,45,25,2005
117,45,2,2005
772,45,42,2005
520,45,3,2005
618,45,44,2005
598,45,19,2005
1689,45,14,2005
1034,45,15,2005
222,45,22,2005
77,45,4,2005
542,45,12,2005
48,45,5,2005
57,45,43,2005
139,45,24,2005
181,42,17,2005
488,42,34,2005
68,42,46,2005
690,42,16,2005
248,42,21,2005
126,42,49,2005
38,42,39,2005
18,42,35,2005
3393,42,10,2005
637,42,18,2005
29,42,9,2005
510,42,28,2005
865,42,47,2005
101,42,31,2005
144,42,26,2005
1311,42,41,2005
144,42,6,2005
99,42,38,2005
352,42,37,2005
167,42,8,2005
1092,42,7,2005
103,42,48,2005
63,42,1,2005
266,42,20,2005
7,42,30,2005
20,42,11,2005
371,42,27,2005
75,42,33,2005
132,42,36,2005
142,42,13,2005
727,42,25,2005
822,42,2,2005
15,42,45,2005
127,42,3,2005
135,42,44,2005
785,42,19,2005
15,42,40,2005
517,42,32,2005
14,42,14,2005
536,42,23,2005
954,42,15,2005
102,42,22,2005
9,42,29,2005
714,42,4,2005
271,42,12,2005
795,42,5,2005
139,42,43,2005
12,42,24,2005
624,3,17,2005
602,3,34,2005
2305,3,46,2005
838,3,16,2005
659,3,21,2005
43,3,39,2005
33,3,35,2005
958,3,10,2005
617,3,18,2005
54,3,9,2005
427,3,28,2005
106,3,47,2005
104,3,31,2005
1787,3,26,2005
103,3,41,2005
425,3,6,2005
87,3,37,2005
26,3,8,2005
256,3,7,2005
348,3,48,2005
282,3,1,2005
1805,3,20,2005
256,3,30,2005
267,3,11,2005
129,3,27,2005
37,3,33,2005
155,3,36,2005
479,3,13,2005
319,3,25,2005
